,GAN,WGAN,WGANGP
encounter_id,0.02929602949342778,1.0,0.1647264710979853
patient_nbr,0.47009996947817273,1.0,0.0948002334282673
time_in_hospital,0.4984667298654893,1.0,0.7658093822107677
num_lab_procedures,0.14081749411627095,1.0,0.33886151619003085
num_procedures,0.2858711316662441,1.0,0.44639388616928677
num_medications,0.2675339849099263,1.0,0.3008815398066733
number_outpatient,0.11307709229482941,1.0,0.18071113352704377
number_emergency,0.30441445557511077,1.0,0.3797851126454599
number_inpatient,0.8425543029121308,1.0,0.9864740756996052
number_diagnoses,0.5132142035457548,1.0,0.44118976691519907
