,GAN,WGAN,WGANGP
encounter_id,0.295560784385762,0.3721693689916501,0.27572669202099853
patient_nbr,0.7033912057202852,0.2866994909414868,0.3990115242790711
time_in_hospital,0.26122975937255766,0.26122975937255766,0.04063772243714463
num_lab_procedures,0.3143113981138888,0.32134077084189394,0.13671856185434714
num_procedures,0.22328839363507128,0.22328839363507128,0.15995944945594143
num_medications,0.8122072941846983,0.18777305288603274,0.16878507998245929
number_outpatient,0.00879421792103827,0.00879421792103827,0.3465529990370065
number_emergency,0.0026031080590456705,0.0026031080590456705,0.49783061398854134
number_inpatient,0.030265043147538286,0.030265043147538286,0.15435440425122643
number_diagnoses,0.4281737843025503,0.4281737843025503,0.2780668270144127
